Rank,City,State,Popullation,
347,Yakima, Washington,"96,971",
348,Sunrise, Florida,"97,309",
349,Edmond, Oklahoma,"94,436",
350,Plantation, Florida,"91,750",
351,Fort Myers, Florida,"86,401",
352,Orem, Utah,"98,133",
353,Lawrence, Kansas,"94,930",
354,Reading, Pennsylvania,"95,100",
355,San Marcos, California,"94,862",
356,Mount Pleasant town, South Carolina,"90,838",
357,Bellingham, Washington,"91,483",
358,Livonia, Michigan,"95,526",
359,Asheville, North Carolina,"94,581",
360,Fall River, Massachusetts,"93,984",
361,O'Fallon, Missouri,"91,347",
362,Erie, Pennsylvania,"94,849",
363,Chino, California,"91,387",
364,Sandy, Utah,"97,253",
365,Roswell, Georgia,"92,835",
366,Redding, California,"93,609",
367,Hoover, Alabama,"92,605",
368,Carson, California,"95,553",
369,Kirkland, Washington,"92,166",
370,Compton, California,"95,712",
371,Indio, California,"89,126",
372,Mission Viejo, California,"93,639",
373,Avondale, Arizona,"89,345",
374,Merced, California,"86,370",
375,Lawton, Oklahoma,"90,387",
376,Norwalk, Connecticut,"91,187",
377,Nashua, New Hampshire,"91,335",
378,South Gate, California,"92,727",
379,Hemet, California,"89,818",
380,Fort Smith, Arkansas,"89,141",
381,Santa Monica, California,"93,075",
382,Trenton, New Jersey,"90,860",
383,Temple, Texas,"82,072",
384,Westminster, California,"90,915",
385,Champaign, Illinois,"88,293",
386,Greenville, North Carolina,"87,628",
387,Santa Fe, New Mexico,"87,503",
388,Clifton, New Jersey,"90,309",
389,Waukegan, Illinois,"89,313",
390,Lawrence, Massachusetts,"89,153",
391,Bloomington, Minnesota,"89,980",
392,Bryan, Texas,"83,967",
393,Springdale, Arkansas,"87,315",
394,Santa Barbara, California,"88,676",
395,Newton, Massachusetts,"88,918",
396,Troy, Michigan,"87,300",
397,Danbury, Connecticut,"86,510",
398,Manteca, California,"83,507",
399,Franklin, Tennessee,"83,547",
400,Ogden, Utah,"87,343",
401,Deerfield Beach, Florida,"86,855",
402,San Leandro, California,"90,998",
403,Mission, Texas,"85,787",
404,Duluth, Minnesota,"86,720",
405,Georgetown, Texas,"67,012",
406,Melbourne, Florida,"84,703",
407,Citrus Heights, California,"87,575",
408,San Ramon, California,"86,332",
409,Lake Forest, California,"85,862",
410,Medford, Oregon,"85,858",
411,Sioux, Iowa,"85,781",
412,North Port, Florida,"74,798",
413,Auburn, Washington,"87,204",
414,Kennewick, Washington,"83,929",
415,Livermore, California,"87,965",
416,Hawthorne, California,"88,077",
417,Whittier, California,"87,302",
418,Lehi, Utah,"75,900",
419,Baytown, Texas,"85,541",
420,Westland, Michigan,"85,407",
421,Newport Beach, California,"85,235",
422,South Jordan, Utah,"77,486",
423,Brooklyn Park, Minnesota,"86,462",
424,Folsom, California,"80,463",
425,Warwick, Rhode Island,"82,825",
426,Farmington Hills, Michigan,"84,004",
427,Gastonia, North Carolina,"80,412",
428,Layton, Utah,"81,780",
429,Longview, Texas,"81,640",
430,Largo, Florida,"82,544",
431,Johns Creek, Georgia,"82,444",
432,Buena Park, California,"84,016",
433,Cranston, Rhode Island,"82,936",
434,New Rochelle, New York,"79,734",
435,Warner Robins, Georgia,"80,350",
435,Frederick, Maryland,"78,188",
437,Cicero town, Illinois,"85,268",
438,Homestead, Florida,"80,734",
439,Mountain View, California,"82,534",
440,Boynton Beach, Florida,"80,385",
441,Rancho Cordova, California,"79,332",
442,Redwood, California,"84,303",
443,Perris, California,"78,705",
444,Alhambra, California,"82,868",
445,Castle Rock town, Colorado,"73,156",
446,Pharr, Texas,"79,713",
447,Miami Beach, Florida,"82,888",
448,Auburn, Alabama,"76,143",
449,Kissimmee, Florida,"79,224",
450,Jonesboro, Arkansas,"78,575",
451,Flint, Michigan,"81,268",
452,Somerville, Massachusetts,"81,031",
453,Parma, Ohio,"81,117",
454,Pasco, Washington,"77,119",
455,Lynchburg, Virginia,"79,007",
456,Lake Charles, Louisiana,"84,936",
457,Bloomington, Indiana,"79,148",
458,Lakewood, California,"82,497",
459,Bloomington, Illinois,"78,699",
460,Upland, California,"79,041",
461,Rapid, South Dakota,"74,719",
462,Plymouth, Minnesota,"81,017",
463,Woodbury, Minnesota,"75,107",
464,Flower Mound town, Texas,"75,965",
465,Tustin, California,"79,967",
466,Napa, California,"79,251",
467,Daytona Beach, Florida,"71,587",
468,Chino Hills, California,"78,426",
469,Loveland, Colorado,"76,365",
470,Milpitas, California,"80,271",
471,Cedar Park, Texas,"77,586",
472,Bethlehem, Pennsylvania,"75,795",
473,Pittsburg, California,"76,409",
474,Doral, Florida,"75,875",
475,Missoula, Montana,"74,131",
476,Redmond, Washington,"73,252",
477,Wyoming, Michigan,"76,510",
478,Mansfield, Texas,"72,596",
479,Pleasanton, California,"79,856",
480,Hammond, Indiana,"77,855",
481,Missouri, Texas,"74,248",
482,Racine, Wisconsin,"77,841",
483,Bellflower, California,"79,216",
484,Schaumburg village, Illinois,"78,713",
485,Broomfield, Colorado,"74,105",
486,Alameda, California,"78,282",
487,Rochester Hills, Michigan,"76,308",
488,Flagstaff, Arizona,"76,847",
489,Apple Valley town, California,"75,789",
490,Scranton, Pennsylvania,"76,336",
491,Evanston, Illinois,"78,104",
492,Southfield, Michigan,"76,604",
493,Rock Hill, South Carolina,"74,409",
494,Iowa, Iowa,"74,823",
495,Arlington Heights village, Illinois,"77,687",
496,Pawtucket, Rhode Island,"75,612",
497,Bowling Green, Kentucky,"72,298",
498,Lakeville, Minnesota,"69,496",
499,Appleton, Wisconsin,"75,681",
500,Bismarck, North Dakota,"73,625",
501,New Britain, Connecticut,"74,159",
502,Leander, Texas,"59,217",
503,Bolingbrook village, Illinois,"73,948",
504,Rocklin, California,"71,598",
505,Redlands, California,"73,170",
506,Lauderhill, Florida,"74,479",
507,Rogers, Arkansas,"69,913",
508,Kalamazoo, Michigan,"73,570",
509,Noblesville, Indiana,"69,609",
510,Johnson, Tennessee,"71,063",
511,Greenville, South Carolina,"70,720",
512,Turlock, California,"72,692",
513,Marysville, Washington,"70,714",
514,Gulfport, Mississippi,"72,923",
515,Ankeny, Iowa,"67,901",
516,Dublin, California,"72,588",
517,Tamarac, Florida,"71,903",
518,Lake Elsinore, California,"70,244",
519,Blaine, Minnesota,"70,221",
520,Mount Vernon, New York,"73,905",
521,Harlingen, Texas,"71,824",
522,Wilmington, Delaware,"70,893",
523,Lafayette, Indiana,"70,790",
524,Dothan, Alabama,"71,050",
525,St. Charles, Missouri,"70,539",
526,Apex town, North Carolina,"64,180",
527,Eastvale, California,"69,752",
528,Camden, New Jersey,"71,777",
529,Framingham, Massachusetts,"72,381",
530,West Des Moines, Iowa,"68,726",
531,Queen Creek town, Arizona,"59,516",
532,Tulare, California,"68,910",
533,North Richland Hills, Texas,"69,911",
534,St. Joseph, Missouri,"72,481",
535,Maple Grove, Minnesota,"70,264",
536,Waukesha, Wisconsin,"71,162",
537,Jacksonville, North Carolina,"72,735",
538,San Marcos, Texas,"67,690",
539,Camarillo, California,"70,740",
540,Eau Claire, Wisconsin,"69,433",
541,Canton, Ohio,"70,836",
542,St. Cloud, Minnesota,"68,882",
543,Bayonne, New Jersey,"71,687",
544,Baldwin Park, California,"72,176",
545,Shawnee, Kansas,"67,310",
546,Passaic, New Jersey,"70,534",
547,Decatur, Illinois,"70,901",
548,Yuba, California,"70,118",
549,Walnut Creek, California,"70,112",
550,Gaithersburg, Maryland,"69,656",
551,Redondo Beach, California,"71,560",
552,Schenectady, New York,"67,050",
553,East Orange, New Jersey,"69,620",
554,Portland, Maine,"68,409",
555,Jackson, Tennessee,"68,224",
556,Madera, California,"66,229",
557,Grand Junction, Colorado,"65,574",
558,Gary, Indiana,"69,086",
559,Idaho Falls, Idaho,"65,586",
560,Weston, Florida,"68,113",
561,Conway, Arkansas,"64,149",
562,Eagan, Minnesota,"68,861",
563,Alpharetta, Georgia,"65,811",
564,Lodi, California,"66,336",
565,Albany, Georgia,"69,652",
566,Haverhill, Massachusetts,"67,774",
567,Yorba Linda, California,"68,318",
568,Davis, California,"66,858",
569,Union, California,"70,140",
570,Delray Beach, Florida,"66,847",
571,Ames, Iowa,"66,426",
572,Rockville, Maryland,"67,126",
573,Waterloo, Iowa,"67,320",
574,Novi, Michigan,"66,237",
575,Maricopa, Arizona,"58,143",
576,Brentwood, California,"64,290",
577,Commerce, Colorado,"62,425",
578,Palo Alto, California,"68,586",
579,Oshkosh, Wisconsin,"66,802",
580,Caldwell, Idaho,"60,077",
581,Janesville, Wisconsin,"65,615",
582,Sammamish, Washington,"67,458",
583,Pflugerville, Texas,"65,177",
584,Skokie village, Illinois,"67,822",
585,Palatine village, Illinois,"67,899",
586,Ocala, Florida,"63,587",
587,Greenwood, Indiana,"63,832",
588,Medford, Massachusetts,"59,666",
589,Victoria, Texas,"65,529",
590,Union, New Jersey,"68,631",
591,Lorain, Ohio,"65,214",
592,Rowlett, Texas,"62,551",
593,Muncie, Indiana,"65,197",
594,Port Orange, Florida,"62,622",
595,Malden, Massachusetts,"66,261",
596,North Little Rock, Arkansas,"64,600",
597,Cheyenne, Wyoming,"65,131",
598,St. Cloud, Florida,"58,950",
599,Lynwood, California,"67,256",
600,Utica, New York,"65,287",
601,Waltham, Massachusetts,"65,213",
602,Kenner, Louisiana,"66,471",
603,Burnsville, Minnesota,"64,324",
604,Laguna Niguel, California,"64,347",
605,South San Francisco, California,"66,097",
606,San Clemente, California,"64,282",
607,Moore, Oklahoma,"62,806",
608,Sanford, Florida,"61,082",
609,Huntersville town, North Carolina,"61,376",
610,Millcreek, Utah,"63,890",
611,Bellevue, Nebraska,"64,215",
612,Porterville, California,"62,629",
613,Hamilton, Ohio,"63,386",
614,Hendersonville, Tennessee,"61,792",
615,Richland, Washington,"60,568",
616,Coon Rapids, Minnesota,"63,624",
617,Bossier, Louisiana,"62,719",
618,Marietta, Georgia,"61,052",
619,Lakewood, Washington,"63,609",
620,Eden Prairie, Minnesota,"64,198",
621,Council Bluffs, Iowa,"62,792",
622,Taylor, Michigan,"63,392",
623,Chapel Hill town, North Carolina,"61,965",
624,Dearborn Heights, Michigan,"63,291",
625,La Habra, California,"63,118",
626,Pontiac, Michigan,"61,601",
627,Santa Cruz, California,"62,968",
628,Woodland, California,"61,047",
629,Wellington village, Florida,"61,620",
630,Springfield, Oregon,"61,843",
631,Encinitas, California,"62,002",
632,Bristol, Connecticut,"60,845",
633,Parker town, Colorado,"58,526",
634,Jupiter town, Florida,"61,036",
635,Stonecrest, Georgia,"59,190",
636,Corvallis, Oregon,"59,909",
637,Wylie, Texas,"57,530",
638,Montebello, California,"62,623",
639,Vineland, New Jersey,"60,780",
640,Great Falls, Montana,"60,464",
641,La Mesa, California,"61,119",
642,Meriden, Connecticut,"60,830",
643,Palm Beach Gardens, Florida,"59,174",
644,Euless, Texas,"61,028",
645,Owensboro, Kentucky,"60,206",
646,Casa Grande, Arizona,"53,660",
647,San Rafael, California,"61,277",
648,Taunton, Massachusetts,"59,400",
649,Madison, Alabama,"56,965",
650,Pico Rivera, California,"62,079",
651,Shoreline, Washington,"58,601",
652,Kokomo, Indiana,"59,603",
653,Blue Springs, Missouri,"58,613",
654,White Plains, New York,"59,553",
655,Burlington, North Carolina,"57,306",
656,Herriman, Utah,"55,178",
657,Youngstown, Ohio,"60,056",
658,Santee, California,"60,047",
659,West Allis, Wisconsin,"60,334",
660,Lake Havasu, Arizona,"57,134",
661,North Miami, Florida,"60,195",
662,Dubuque, Iowa,"59,669",
663,Gardena, California,"61,022",
664,Grand Forks, North Dakota,"59,170",
665,Petaluma, California,"59,778",
666,Lenexa, Kansas,"57,417",
667,Des Plaines, Illinois,"60,673",
668,Monterey Park, California,"61,109",
669,Lacey, Washington,"56,185",
670,Casper, Wyoming,"59,090",
671,Revere, Massachusetts,"62,204",
672,St. Peters, Missouri,"57,731",
673,Hanford, California,"58,013",
674,Terre Haute, Indiana,"58,412",
675,Hempstead village, New York,"59,170",
676,Margate, Florida,"58,700",
677,Carson, Nevada,"58,644",
678,Springfield, Ohio,"58,651",
679,Gilroy, California,"59,532",
680,Midwest, Oklahoma,"58,406",
681,Brookhaven, Georgia,"56,795",
682,Decatur, Alabama,"57,946",
683,Taylorsville, Utah,"60,435",
684,Bentonville, Arkansas,"54,210",
685,Cupertino, California,"60,363",
686,St. Clair Shores, Michigan,"58,874",
687,Pocatello, Idaho,"56,326",
688,Hoboken, New Jersey,"60,057",
689,Orland Park village, Illinois,"58,730",
690,Royal Oak, Michigan,"58,202",
691,Kyle, Texas,"45,697",
692,Lancaster, Pennsylvania,"58,051",
693,Weymouth Town, Massachusetts,"57,443",
694,Sarasota, Florida,"54,840",
695,Coconut Creek, Florida,"57,828",
696,Bowie, Maryland,"58,335",
697,Kettering, Ohio,"57,868",
698,Apopka, Florida,"54,889",
